ID,Type,SKU,Name,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Brands
,simple,i60,FANVIL i60 Video Door Phone,"FANVIL i60 Video Door Phone is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: i60.",taxable,1,120,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, i60, Tenda, Attendance, Intercom, Jordan",H6c-1200x1200.jpg,FANVIL
,simple,i60K,FANVIL i60K Video Door Phone,"FANVIL i60K Video Door Phone is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: i60K.",taxable,1,198,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, i60K, Tenda, Attendance, Intercom, Jordan",i60K-1200x1200.jpg,FANVIL
,simple,i67,FANVIL i67 Face Recognition Door Phone,"FANVIL i67 Face Recognition Door Phone is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: i67.",taxable,1,780,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, i67, Tenda, Attendance, Intercom, Jordan",i67-1200x1200.jpg,FANVIL
,simple,VIK-01,FANVIL VIK-01 Video Intercom Kit,"FANVIL VIK-01 Video Intercom Kit is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: VIK-01.",taxable,1,150,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, VIK-01, Tenda, Attendance, Intercom, Jordan",VIK-01-1200x1200.jpg,FANVIL
,simple,DS-KAD606,HIKVISION DS-KAD606 HIKVISION Private PoE Switch,"HIKVISION DS-KAD606 HIKVISION Private PoE Switch is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KAD606.",taxable,1,25,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KAD606, Tenda, Poe, Switch, Attendance, Intercom, Jordan",DS-KAD606-1200x1200.jpg,HIKVISION
,simple,DS-KD-ACW1,HIKVISION DS-KD-ACW1 2nd Video Intercom Brackets,"HIKVISION DS-KD-ACW1 2nd Video Intercom Brackets is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KD-ACW1.",taxable,1,29,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KD-ACW1, Tenda, Attendance, Intercom, Jordan",DS-KD-ACW1-1200x1200.jpg,HIKVISION
,simple,DS-KD-ACW2,HIKVISION DS-KD-ACW2 2nd Video Intercom Brackets,"HIKVISION DS-KD-ACW2 2nd Video Intercom Brackets is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KD-ACW2.",taxable,1,35,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KD-ACW2, Tenda, Attendance, Intercom, Jordan",DS-KD-ACW2-1200x1200.jpg,HIKVISION
,simple,DS-KD-ACW3,HIKVISION DS-KD-ACW3 2nd Video Intercom Brackets,"HIKVISION DS-KD-ACW3 2nd Video Intercom Brackets is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KD-ACW3.",taxable,1,50,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KD-ACW3, Tenda, Attendance, Intercom, Jordan",DS-KD-ACW3-1200x1200.jpg,HIKVISION
,simple,DS-KD-K12,HIKVISION DS-KD-K12 Nametag module,"HIKVISION DS-KD-K12 Nametag module is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KD-K12.",taxable,1,38,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KD-K12, Tenda, Attendance, Intercom, Jordan",DS-KD-K12-1200x1200.jpg,HIKVISION
,simple,DS-KD-KK,HIKVISION DS-KD-KK KD8 Series Pro Modular Door Station,"HIKVISION DS-KD-KK KD8 Series Pro Modular Door Station is a intercom / video door phones from HIKVISION suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: DS-KD-KK.",taxable,1,27,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, HIKVISION, DS-KD-KK, Tenda, Attendance, Intercom, Jordan",DS-KD-KK-1200x1200.jpg,HIKVISION
